,Data,Country,CO2,N2O,CH4,AverageTemperature,Mes
6976,1996,Sweden,63114.48822418833,5787.710819803561,7837.610294219976,5.608,5
6977,1996,Sweden,62873.61630594381,5790.029172861974,7835.12761333412,11.860999999999999,6
6978,1996,Sweden,62535.44272302172,5799.521837758137,7832.394687162996,13.54,7
6979,1996,Sweden,62119.239953175354,5814.926593074957,7829.319245527144,15.64,8
6980,1996,Sweden,61644.280474157116,5834.9812173954115,7825.809018247101,7.747000000000001,9
6981,1996,Sweden,61129.83676372362,5858.423489302294,7821.771735143435,4.583,10
6982,1996,Sweden,60595.18129962741,5883.991187378571,7817.115126036681,-3.3480000000000003,11
6983,1996,Sweden,60059.586559620795,5910.42209020723,7811.746920747371,-8.025,12
6984,1997,Sweden,59542.32502146071,5936.453976371031,7805.574849096085,-5.806000000000001,1
6985,1997,Sweden,59062.66916289944,5960.82462445296,7798.506640903348,-4.885,2
6986,1997,Sweden,58639.89146168975,5982.271813035987,7790.450025989691,-1.634,3
6987,1997,Sweden,58293.2643955879,5999.533320702902,7781.312734175705,-0.08299999999999985,4
6988,1997,Sweden,58041.37228927705,6011.387147079096,7771.007151319608,6.125,5
6989,1997,Sweden,57886.971946846075,6017.536375765488,7759.552752146632,13.638,6
6990,1997,Sweden,57816.992651788205,6018.609174338575,7747.076100248976,16.85,7
6991,1997,Sweden,57817.67553452775,6015.273931417276,7733.708415256629,16.46,8
6992,1997,Sweden,57875.26172548828,6008.199035620513,7719.580916799479,10.0,9
6993,1997,Sweden,57975.99235509408,5998.052875567177,7704.824824507408,1.815,10
6994,1997,Sweden,58106.10855376847,5985.503839876245,7689.571358010423,-2.672,11
6995,1997,Sweden,58251.85145193561,5971.22031716661,7673.951736938402,-5.041,12
6996,1998,Sweden,58399.46218001985,5955.870696057149,7658.097180921226,-4.947000000000001,1
6997,1998,Sweden,58535.181868444226,5940.123365166867,7642.138909588907,-4.882,2
6998,1998,Sweden,58645.2516476331,5924.646713114642,7626.208142571321,-3.901,3
6999,1998,Sweden,58715.91264801053,5910.109128519352,7610.43609949835,0.392,4
7000,1998,Sweden,58733.40600000001,5897.179000000002,7594.954000000001,7.487999999999999,5
7001,1998,Sweden,58687.560011206835,5886.404903191882,7579.854508185798,11.447,6
7002,1998,Sweden,58582.55169796005,5877.856161795962,7565.076066083816,14.36,7
7003,1998,Sweden,58426.145253770825,5871.482286529702,7550.518560201902,12.13,8
7004,1998,Sweden,58226.10487214944,5867.232788110478,7536.0818770477745,9.546,9
7005,1998,Sweden,57990.19474660574,5865.057177255696,7521.665903129155,3.148,10
7006,1998,Sweden,57726.17907065161,5864.904964682778,7507.170524953887,-4.831,11
7007,1998,Sweden,57441.822037796956,5866.725661109119,7492.49562902969,-5.475,12
7008,1999,Sweden,57144.88784155145,5870.468777252141,7477.541101864284,-8.058,1
7009,1999,Sweden,56843.140675427356,5876.083823829231,7462.206829965513,-7.016,2
7010,1999,Sweden,56544.34473293432,5883.520311557804,7446.392699841097,-2.6719999999999997,3
7011,1999,Sweden,56256.26420758215,5892.7277511552975,7429.998597998751,3.2310000000000003,4
7012,1999,Sweden,55986.663292882986,5903.655653339066,7412.924410946333,6.566,5
7013,1999,Sweden,55743.11637242535,5916.236847683916,7395.076997442037,13.454,6
7014,1999,Sweden,55528.832201611454,5930.0204974842745,7376.523578005261,15.326,7
7015,1999,Sweden,55342.65390765589,5944.172099754262,7357.491734916499,12.513,8
7016,1999,Sweden,55183.23480785365,5957.840470365246,7338.2160227068925,11.451,9
7017,1999,Sweden,55049.22821949802,5970.174425188718,7318.930995907415,4.0710000000000015,10
7018,1999,Sweden,54939.28745988264,5980.322780096155,7299.871209049046,1.4,11
7019,1999,Sweden,54852.06584630204,5987.43435095895,7281.271216662928,-7.739,12
7020,2000,Sweden,54786.21669604976,5990.657953648586,7263.365573280035,-4.812,1
7021,2000,Sweden,54740.39332641961,5989.142404036502,7246.388833431352,-4.328999999999999,2
7022,2000,Sweden,54713.24905470575,5982.036517994158,7230.57555164801,-2.352,3
7023,2000,Sweden,54703.43719820191,5968.489111393008,7216.160282460987,2.762,4
7024,2000,Sweden,54709.61107420204,5947.649000104432,7203.377580401283,9.121,5
7025,2000,Sweden,54730.424,5918.665000000001,7192.462,11.649,6
7026,2000,Sweden,54764.53450742635,5881.084842610672,7183.554662492982,14.331,7
7027,2000,Sweden,54810.62198645843,5836.051922105544,7176.422955935471,13.012,8
